orig.ident	nCount_RNA	nFeature_RNA	percent.mt	S.Score	G2M.Score	Phase	old.ident	Sample.ID	Sample.name	Condition	RDS	Time	Day	Replicate	Batch	Dissection	Genotype	Multiplexing	Directory	Chip.10x.type	pretty.geno	RNA_snn_res.0.4	seurat_clusters	Fate	FateColor	UMAP_1	UMAP_2	Hoxa9	Hoxb9	Hoxc9	Hoxd9	Hoxa10	Hoxc10	Hoxd10	Hoxb13	Chl1
144h.Deli9-13_het.rep1	5534	2533	7.57137694253704	-0.184292483438123	-0.034601956291414	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.15410189685488	4.03002457237497	0	3	0	0	0	4	0	1	0
144h.Deli9-13_het.rep1	12679	3846	1.8455714173042	0.136996125461262	-0.427529956764236	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.707206469205381	4.81289248085275	1	2	2	0	0	7	0	0	0
144h.Deli9-13_het.rep1	17414	4422	1.94096703801539	-0.00953669377898581	-0.0695467597447106	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.804852653118609	4.93274407005564	1	10	11	1	2	7	1	2	0
144h.Deli9-13_het.rep1	13778	3984	1.67658586151836	0.09567233618757	-0.310441420949936	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.297717261883257	5.1820633850123	0	4	0	2	1	2	0	1	0
144h.Deli9-13_het.rep1	15404	4309	1.99948065437549	-0.0397399031736324	-0.131860560651745	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.52694420871401	5.27605609512583	1	3	1	0	0	14	0	6	0
144h.Deli9-13_het.rep1	18619	4699	2.45448198077233	-0.20617925640489	0.0256454027719809	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.07049269619322	5.13849763489023	2	8	4	3	2	3	1	3	0
144h.Deli9-13_het.rep1	15658	4185	2.27998467237195	0.0161726682945986	-0.263455621370804	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.36907033977175	4.88256363487497	1	3	2	3	3	3	0	3	0
144h.Deli9-13_het.rep1	19208	4961	2.49375260308205	-0.181798389548891	0.251073147109104	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.79149894771242	4.87896756744638	6	5	4	1	0	9	0	0	0
144h.Deli9-13_het.rep1	15789	4472	2.14073088859332	-0.1362730818318	0.169607566709782	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.277959358123304	4.50454883194223	6	8	4	4	3	9	1	2	0
144h.Deli9-13_het.rep1	12695	3769	2.14257581725089	-0.0467091427860284	-0.398855067609449	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.369572114375593	4.7783825836207	0	8	3	0	3	3	0	2	0
144h.Deli9-13_het.rep1	13928	3861	1.82366456059736	0.0969991349991711	-0.280624324547729	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.55163173732424	4.99723891830698	1	6	2	0	2	4	0	6	0
144h.Deli9-13_het.rep1	16616	4634	3.5387578237843	-0.191271008168117	0.315686433374595	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.930492628541948	4.8694777927424	1	4	4	5	0	3	0	0	0
144h.Deli9-13_het.rep1	13262	4082	2.07359372643643	-0.07942256327376	0.0250178505422641	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.29232316074037	5.01558761215463	0	4	2	0	0	8	0	0	0
144h.Deli9-13_het.rep1	10571	3597	1.76899063475546	0.0996006162587764	-0.141704347384143	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.43014531192446	4.43510131454721	1	2	1	1	3	3	3	4	0
144h.Deli9-13_het.rep1	9488	3426	2.09738617200675	-0.0916298301427445	-0.0186208589417354	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	0.0429924243960398	5.00779466247812	0	2	5	3	0	3	0	2	0
144h.Deli9-13_het.rep1	11562	3633	1.72115550942743	-0.0316022109630534	-0.163187092763474	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.677066612812517	4.97314958191171	1	2	0	1	0	2	0	12	0
144h.Deli9-13_het.rep1	17459	4548	1.96460278366459	0.151252186814854	-0.248584838789888	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.33401279506349	4.26354508018747	3	0	3	1	1	3	1	0	0
144h.Deli9-13_het.rep1	18199	4556	1.92318259245013	0.047043197131846	-0.153202225359348	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.125959921452044	4.79357008552805	2	3	5	7	1	8	1	1	0
144h.Deli9-13_het.rep1	15829	4350	1.57306210120665	0.0816524343471597	-0.175389468609928	S	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.58341937122011	5.3848393402125	1	3	1	6	0	5	0	1	0
144h.Deli9-13_het.rep1	14281	4152	2.59785729290666	-0.222467917394872	0.0892307626272001	G2M	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-0.755045939060686	4.61450271225229	2	5	6	0	0	7	2	4	0
144h.Deli9-13_het.rep1	12435	3747	1.65661439485324	-0.105411120604252	-0.0521919042089716	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-1.12214140948915	4.98414687729135	1	2	2	1	3	7	0	0	0
144h.Deli9-13_het.rep1	11868	3673	2.30872935625211	-0.116697935615179	-0.140914998336884	G1	144h.Deli9-13_het.rep1	2	144h.Deli9-13_het.rep1	Whole_144h_Gastruloid_Deli9-13_het	144h.Deli9-13_het.rep1	144h	6 days	1	2	Whole	129sv.WT/HoxB_Deli9-13	NA	144h.Deli9-13_het.rep1	V3	HoxBDel(i9-13)/+	3	3	NMP	#DAE3F3	-2.02114872989321	4.84241609192148	0	3	6	2	2	1	0	1	0
