ID	age	geno	length
3384	39	wt	80
3202	35	m424;w453	80
3204	55	m424;w453	80
3431	51	m424;w453	87
3430	47	m424;w453	80
3384	41	wt	82
3433	51	m424;w453	89
3384	43	wt	83
3384	45	wt	83
3431	39	m424;w453	80
3434	51	m424;w453	80
3433	37	m424;w453	80
3435	41	m424;w453	80
3435	43	m424;w453	80
3435	45	m424;w453	80
3384	47	wt	82
3384	49	wt	82
3385	34	m424;w453	79
3203	49	m424;w453	79
3204	49	m424;w453	79
3384	51	wt	85
3384	53	wt	86
3430	43	m424;w453	79
3430	45	m424;w453	79
3384	55	wt	86
3427	29	m438;w453	71
3427	28	m438;w453	70
3384	57	wt	92
3206	35	m424;w453	78
3385	32	m424;w453	78
3384	59	wt	86
3203	45	m424;w453	78
3384	61	wt	87
3384	63	wt	87
3434	47	m424;w453	78
3434	49	m424;w453	78
3435	51	m424;w453	85
3384	65	wt	88
3433	35	m424;w453	78
3435	39	m424;w453	78
3384	73	wt	88
3384	79	wt	89
3384	86	wt	90
3387	28	m424	80
3387	29	m424	80
3386	36	m424;w453	77
3430	41	m424;w453	77
3387	30	m424	80
3431	35	m424;w453	77
3387	32	m424	82
3431	37	m424;w453	77
3433	33	m424;w453	77
3387	34	m424	85
3387	36	m424	93
3387	39	m424	93
3385	30	m424;w453	76
3387	41	m424	93
3387	43	m424	88
3387	45	m424	88
3387	47	m424	88
3387	49	m424	92
3387	51	m424	93
3387	53	m424	95
3204	45	m424;w453	76
3431	31	m424;w453	76
3431	33	m424;w453	76
3387	55	m424	95
3433	29	m424;w453	76
3433	31	m424;w453	76
3435	37	m424;w453	76
3387	57	m424	96
3387	59	m424	96
3387	61	m424	97
3387	63	m424	97
3385	29	m424;w453	75
3386	32	m424;w453	75
3386	34	m424;w453	75
3387	65	m424	97
3183	62	m438;w453	91
3430	37	m424;w453	75
3430	39	m424;w453	75
3434	41	m424;w453	75
3434	43	m424;w453	75
3434	45	m424;w453	75
3387	73	m424	99
3387	79	m424	100
3387	86	m424	101
3388	28	m424	68
3385	28	m424;w453	74
3386	30	m424;w453	74
3430	35	m424;w453	74
3431	29	m424;w453	74
3434	39	m424;w453	74
3435	35	m424;w453	74
3388	29	m424	68
3388	30	m424	68
3388	32	m424	71
3183	68	m438;w453	91
3388	34	m424	73
3388	36	m424	75
3388	39	m424	78
3388	41	m424	81
3388	43	m424	82
3388	45	m424	83
3386	28	m424;w453	73
3386	29	m424;w453	73
3388	47	m424	85
3388	49	m424	86
3388	51	m424	82
3388	53	m424	88
3388	55	m424	87
3388	57	m424	89
3388	59	m424	93
3388	61	m424	92
3388	63	m424	92
3388	65	m424	92
3150	71	m438;w453	95
3430	33	m424;w453	73
3388	73	m424	93
3388	79	m424	94
3183	76	m438;w453	94
3388	86	m424	97
3150	77	m438;w453	96
3060	79	m438;w453	95
3388	86	m424	98
3428	28	wt	67
3428	29	wt	69
3428	30	wt	70
3203	35	m424;w453	72
3428	32	wt	71
3428	34	wt	72
3183	83	m438;w453	93
3434	35	m424;w453	72
3428	36	wt	72
3434	37	m424;w453	72
3435	29	m424;w453	72
3150	85	m438;w453	98
3435	31	m424;w453	72
3435	33	m424;w453	72
3428	39	wt	76
3428	41	wt	76
3060	87	m438;w453	96
3428	43	wt	78
3183	90	m438;w453	94
3428	45	wt	79
3428	47	wt	80
3428	49	wt	80
3428	51	wt	82
3428	53	wt	83
3428	55	wt	83
3150	95	m438;w453	99
3183	97	m438;w453	94
3428	57	wt	83
3428	59	wt	84
3428	61	wt	85
3150	99	m438;w453	96
3428	63	wt	85
3430	31	m424;w453	71
3434	31	m424;w453	71
3428	65	wt	84
3430	29	m424;w453	70
3434	33	m424;w453	70
3060	105	m438;w453	96
3150	105	m438;w453	96
3204	35	m424;w453	69
3428	67	wt	85
3428	69	wt	86
3060	109	m438;w453	97
3428	71	wt	86
3428	73	wt	86
3428	79	wt	85
3428	86	wt	86
3434	29	m424;w453	68
3429	28	m438	68
3429	29	m438	70
3429	30	m438	71
3429	32	m438	74
3429	34	m438	76
3429	36	m438	77
3429	39	m438	78
3429	41	m438	81
3385	65	m424;w453	90
3386	65	m424;w453	90
3429	43	m438	83
3429	45	m438	84
3429	47	m438	84
3429	49	m438	85
3430	57	m424;w453	83
3431	57	m424;w453	89
3429	51	m438	88
3433	57	m424;w453	92
3434	57	m424;w453	83
3435	57	m424;w453	88
3429	53	m438	88
3429	55	m438	88
3429	57	m438	89
3429	59	m438	90
3429	61	m438	91
3429	63	m438	91
3430	53	m424;w453	82
3431	53	m424;w453	87
3429	65	m438	91
3433	53	m424;w453	91
3434	53	m424;w453	80
